Afrikaans - South Africa;436;1078;;Maandag;Dinsdag;Woensdag;Donderdag;Vrydag;Saterdag;Sondag;;Januarie;Februarie;Maart;April;Mei;Junie;Julie;Augustus;September;Oktober;November;Desember
French - Democratic Rep. of Congo;240c;9228;;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
French - Cote d'Ivoire;300c;12300;;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
French - Haiti;3c0c;15372;;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
French - Luxembourg;140c;5132;;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
French - Mali;340c;13324;;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
French - Monaco;180c;6156;;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
French - Morocco;380c;14348;;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
French - North Africa;e40c;58380;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
French - Reunion;200c;8204;;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
French - Senegal;280c;10252;;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
French - Switzerland;100c;4108;;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
French - West Indies;1c0c;7180;;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre
Frisian - Netherlands;462;1122;;moandei;tiisdei;woansdei;tongersdei;freed;sneon;snein;;Jannewaris;Febrewaris;Maart;April;Maaie;Juny;July;Augustus;Septimber;Oktober;Novimber;Desimber
Fulfulde - Nigeria;467;1127;;altine;talaata;alarba;alkamiisa;aljumaa;asete;alete;;samwiee;feeburyee;marsa;awril;me;suye;sulyee;ut;satambara;oktoobar;nowamburu;deesamburu
Galician;456;1110;;luns;martes;mércores;xoves;venres;sábado;domingo;;Xaneiro;Febreiro;Marzo;Abril;Maio;Xuño;Xullo;Agosto;Setembro;Outubro;Novembro;Decembro
German - Germany;407;1031;;Montag;Dienstag;Mittwoch;Donnerstag;Freitag;Samstag;Sonntag;;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember
German - Austria;0c07;3079;;Montag;Dienstag;Mittwoch;Donnerstag;Freitag;Samstag;Sonntag;;Jänner;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember
German - Liechtenstein;1407;5127;;Montag;Dienstag;Mittwoch;Donnerstag;Freitag;Samstag;Sonntag;;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember
German - Luxembourg;1007;4103;;Montag;Dienstag;Mittwoch;Donnerstag;Freitag;Samstag;Sonntag;;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember
German - Switzerland;807;2055;;Montag;Dienstag;Mittwoch;Donnerstag;Freitag;Samstag;Sonntag;;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember
Greenlandic;046f;1135;;ataasinngorneq;marlunngorneq;pingasunngorneq;sisamanngorneq;tallimanngorneq;arfininngorneq;sapaat;;januaari;februaari;marsi;apriili;maaji;juuni;juuli;aggusti;septembari;oktobari;novembari;decembari
Guarani - Paraguay;474;1140;;arakõi;araapy;ararundy;arapo;arapote;arapokõi;arate;;jasyte;jasykõi;jasyapy;jasyrundy;jasypo;jasypote;jasypokõi;jasypoapy;jasyporundy;jasypa;jasypate;jasypakõi
Hausa - Nigeria;468;1128;;Litinin;Talata;Laraba;Alhamis;Jummaa;Asabar;Lahadi;;Janairu;Fabrairu;Maris;Afirilu;Mayu;Yuni;Yuli;Agusta;Satumba;Oktoba;Nuwamba;Disamba
Ibibio - Nigeria;469;1129;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
Icelandic;040f;1039;;mánudagur;þriðjudagur;miðvikudagur;fimmtudagur;föstudagur;laugardagur;sunnudagur;;janúar;febrúar;mars;apríl;maí;júní;júlí;ágúst;september;október;nóvember;desember
Indonesian;421;1057;;Senin;Selasa;Rabu;Kamis;Jumat;Sabtu;Minggu;;Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;September;Oktober;November;Desember
Irish;083c;2108;;Dé Luain;Dé Máirt;Dé Céadaoin;Déardaoin;Dé hAoine;Dé Sathairn;Dé Domhnaigh;;Eanáir;Feabhra;Márta;Aibreán;Bealtaine;Meitheamh;Iúil;Lúnasa;Meán Fómhair;Deireadh Fómhair;Samhain;Nollaig
Italian - Italy;410;1040;;lunedì;martedì;mercoledì;giovedì;venerdì;sabato;domenica;;gennaio;febbraio;marzo;aprile;maggio;giugno;luglio;agosto;settembre;ottobre;novembre;dicembre
Italian - Switzerland;810;2064;;lunedì;martedì;mercoledì;giovedì;venerdì;sabato;domenica;;gennaio;febbraio;marzo;aprile;maggio;giugno;luglio;agosto;settembre;ottobre;novembre;dicembre
K'iche;486;1158;;kaq'ij;oxq'ij;kajq'ij;joq'ij;waqq'ij;wuqq'ij;juq'ij;;nab'e ik';ukab' ik';urox ik';ukaj ik';uro ik';uwaq ik';uwuq ik';uwajxaq ik';ub'elej ik';ulaj ik';ujulaj ik';ukab'laj ik'
Kanuri - Nigeria;471;1137;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
Kashmiri;860;2144;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
Kinyarwanda;487;1159;;Ku wa mbere;Ku wa kabiri;Ku wa gatatu;Ku wa kane;Ku wa gatanu;Ku wa gatandatu;Ku cyumweru;;Mutarama;Gashyantare;Werurwe;Mata;Gicuransi;Kamena;Nyakanga;Kanama;Nzeli;Ukwakira;Ugushyingo;Ukuboza
Latin;476;1142;;Lunae;Martis;Mercurii;Jovis;Veneris;Saturni;Solis;;Ianuarius;Februarius;Martius;Aprilis;Maius;Iunius;Quintilis;Sextilis;September;October;November;December
Latvian;426;1062;;pirmdiena;otrdiena;trešdiena;ceturtdiena;piektdiena;sestdiena;svtdiena;;janvris;februris;marts;aprlis;maijs;jnijs;jlijs;augusts;septembris;oktobris;novembris;decembris
Lithuanian;427;1063;;pirmadienis;antradienis;treiadienis;ketvirtadienis;penktadienis;šeštadienis;sekmadienis;;sausis;vasaris;kovas;balandis;geguž;birželis;liepa;rugpjtis;rugsjis;spalis;lapkritis;gruodis
Luxembourgish;046e;1134;;Méindeg;Dënschdeg;Mëttwoch;Donneschdeg;Freideg;Samschdeg;Sonndeg;;Januar;Februar;Mäerz;Abrëll;Mee;Juni;Juli;August;September;Oktober;November;Dezember
Malay - Malaysia;043e;1086;;Isnin;Selasa;Rabu;Khamis;Jumaat;Sabtu;Ahad;;Januari;Februari;Mac;April;Mei;Jun;Julai;Ogos;September;Oktober;November;Disember
Malay - Brunei Darussalam;083e;2110;;Isnin;Selasa;Rabu;Khamis;Jumaat;Sabtu;Ahad;;Januari;Februari;Mac;April;Mei;Jun;Julai;Ogos;September;Oktober;November;Disember
Mapudungun;471;1146;;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;;January;February;March;April;May;June;July;August;September;October;November;December
Mohawk;047c;1148;;Awentataón'ke;Ratironhia'kehronòn:ke;Soséhne;Okaristiiáhne;Ronwaia'tanentaktonhne;Entákta;Awentatokentì:ke;;Tsothohrkó:Wa;Enniska;Enniskó:Wa;Onerahtókha;Onerahtohkó:Wa;Ohiari:Ha;Ohiarihkó:Wa;Seskéha;Seskehkó:Wa;Kenténha;Kentenhkó:Wa;Tsothóhrha
Norwegian (Bokmål);414;1044;;mandag;tirsdag;onsdag;torsdag;fredag;lørdag;søndag;;januar;februar;mars;april;mai;juni;juli;august;september;oktober;november;desember
Norwegian (Nynorsk);814;2068;;måndag;tysdag;onsdag;torsdag;fredag;laurdag;søndag;;januar;februar;mars;april;mai;juni;juli;august;september;oktober;november;desember
Occitan;482;1154;;diluns;dimarts;dimècres;dijòus;divendres;dissabte;dimenge;;genièr;febrièr;març;abril;mai;junh;julhet;agost;setembre;octobre;novembre;decembre
Oromo;472;1138;;Wiixata;Qibxata;Roobii;Kamiisa;Jimaata;Sanbata;Dilbata;;Amajjii;Guraandhala;Bitooteessa;Elba;Caamsa;Waxabajjii;Adooleessa;Hagayya;Fuulbana;Onkololeessa;Sadaasa;Muddee
Papiamentu;479;1145;;dialuna;diamars;diawebs;diarazon;diabierna;diasabra;diadomingo;;januari;februari;maart;april;mei;juni;juli;augustus;september;oktober;november;december
Portuguese - Brazil;416;1046;;segunda-feira;terça-feira;quarta-feira;quinta-feira;sexta-feira;sábado;domingo;;janeiro;fevereiro;março;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro
Portuguese - Portugal;816;2070;;segunda-feira;terça-feira;quarta-feira;quinta-feira;sexta-feira;sábado;domingo;;janeiro;fevereiro;março;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro
Quecha - Bolivia;046B;1131;;killachaw;atipachaw;quyllurchaw;Ch' askachaw;Illapachaw;k'uychichaw;intichaw;;Qulla puquy;Hatun puquy;Pauqar waray;ayriwa;Aymuray;Inti raymi;Anta Sitwa;Qhapaq Sitwa;Uma raymi;Kantaray;Ayamarq'a;Kapaq Raymi
Quecha - Ecuador;086B;2155;;awaki;wanra;chillay;kullka;chaska;wakma;inti;;kulla;panchi;pawkar;ayriwa;aymuray;raymi;sitwa;karwa;kuski;wayru;sasi;kapak
